"id","group","expLabels","condition","order","set","gender","age","race","engNative","ole","parentEd","trial_type","trial_index","image1","image2","sound1","sound2","sound","correct","selected_image","response_location","accuracy","firstPres","secondPres","thirdPres"
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",1,"picture1.jpg","picture8.jpg",NA,NA,"word1.aiff","picture1.jpg","picture8.jpg","right",0,1,6,10
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",2,"picture6.jpg","picture3.jpg",NA,NA,"word3.aiff","picture3.jpg","picture6.jpg","left",0,3,7,11
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",3,"picture5.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture4.jpg","right",1,4,8,12
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",4,"picture3.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,12
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",5,"picture7.jpg","picture2.jpg",NA,NA,"word2.aiff","picture2.jpg","picture2.jpg","right",1,2,5,9
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",6,"picture5.jpg","picture1.jpg",NA,NA,"word5.aiff","picture5.jpg","picture1.jpg","right",0,2,8,10
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",7,"picture8.jpg","picture4.jpg",NA,NA,"word8.aiff","picture8.jpg","picture8.jpg","left",1,4,6,11
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",8,"picture6.jpg","picture2.jpg",NA,NA,"word6.aiff","picture6.jpg","picture6.jpg","left",1,1,7,9
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",1,"picture2.jpg","picture5.jpg",NA,NA,"word2.aiff","picture2.jpg","picture2.jpg","left",1,1,5,10
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",2,"picture6.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,9
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",3,"picture5.jpg","picture3.jpg",NA,NA,"word5.aiff","picture5.jpg","picture3.jpg","right",0,2,6,10
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",4,"picture8.jpg","picture2.jpg",NA,NA,"word8.aiff","picture8.jpg","picture8.jpg","left",1,1,8,12
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",5,"picture8.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture4.jpg","right",1,2,8,11
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",6,"picture4.jpg","picture3.jpg",NA,NA,"word3.aiff","picture3.jpg","picture3.jpg","right",1,4,6,11
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",7,"picture1.jpg","picture7.jpg",NA,NA,"word1.aiff","picture1.jpg","picture1.jpg","left",1,3,7,12
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",8,"picture1.jpg","picture6.jpg",NA,NA,"word6.aiff","picture6.jpg","picture6.jpg","right",1,4,7,9
"p603","kids","Exp1","Unstructured",2,1,"M",5.493150685,"Asian",NA,"no","phd","test",1,"picture1.jpg","picture7.jpg",NA,NA,"word1.aiff","picture1.jpg","picture1.jpg","left",1,3,7,12
"p603","kids","Exp1","Unstructured",2,1,"M",5.493150685,"Asian",NA,"no","phd","test",2,"picture1.jpg","picture6.jpg",NA,NA,"word6.aiff","picture6.jpg","picture6.jpg","right",1,4,7,9
"p603","kids","Exp1","Unstructured",2,1,"M",5.493150685,"Asian",NA,"no","phd","test",3,"picture8.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture8.jpg","left",0,2,8,11
"p603","kids","Exp1","Unstructured",2,1,"M",5.493150685,"Asian",NA,"no","phd","test",4,"picture6.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,9
"p603","kids","Exp1","Unstructured",2,1,"M",5.493150685,"Asian",NA,"no","phd","test",5,"picture8.jpg","picture2.jpg",NA,NA,"word8.aiff","picture8.jpg","picture2.jpg","right",0,1,8,12
"p603","kids","Exp1","Unstructured",2,1,"M",5.493150685,"Asian",NA,"no","phd","test",6,"picture2.jpg","picture5.jpg",NA,NA,"word2.aiff","picture2.jpg","picture5.jpg","right",0,1,5,10
"p603","kids","Exp1","Unstructured",2,1,"M",5.493150685,"Asian",NA,"no","phd","test",7,"picture5.jpg","picture3.jpg",NA,NA,"word5.aiff","picture5.jpg","picture5.jpg","left",1,2,6,10
"p603","kids","Exp1","Unstructured",2,1,"M",5.493150685,"Asian",NA,"no","phd","test",8,"picture4.jpg","picture3.jpg",NA,NA,"word3.aiff","picture3.jpg","picture3.jpg","right",1,4,6,11
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",1,"picture8.jpg","picture4.jpg",NA,NA,"word8.aiff","picture8.jpg","picture4.jpg","right",0,4,6,11
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",2,"picture1.jpg","picture8.jpg",NA,NA,"word1.aiff","picture1.jpg","picture8.jpg","right",0,1,6,10
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",3,"picture5.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture5.jpg","left",0,4,8,12
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",4,"picture6.jpg","picture2.jpg",NA,NA,"word6.aiff","picture6.jpg","picture2.jpg","right",0,1,7,9
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",5,"picture7.jpg","picture2.jpg",NA,NA,"word2.aiff","picture2.jpg","picture7.jpg","left",0,2,5,9
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",6,"picture5.jpg","picture1.jpg",NA,NA,"word5.aiff","picture5.jpg","picture5.jpg","left",1,2,8,10
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",7,"picture6.jpg","picture3.jpg",NA,NA,"word3.aiff","picture3.jpg","picture6.jpg","left",0,3,7,11
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",8,"picture3.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,12
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",1,"picture7.jpg","picture2.jpg",NA,NA,"word2.aiff","picture2.jpg","picture2.jpg","right",1,2,5,9
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",2,"picture6.jpg","picture3.jpg",NA,NA,"word3.aiff","picture3.jpg","picture6.jpg","left",0,3,7,11
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",3,"picture3.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,12
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",4,"picture6.jpg","picture2.jpg",NA,NA,"word6.aiff","picture6.jpg","picture6.jpg","left",1,1,7,9
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",5,"picture1.jpg","picture8.jpg",NA,NA,"word1.aiff","picture1.jpg","picture1.jpg","left",1,1,6,10
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",6,"picture5.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture5.jpg","left",0,4,8,12
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",7,"picture8.jpg","picture4.jpg",NA,NA,"word8.aiff","picture8.jpg","picture4.jpg","right",0,4,6,11
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",8,"picture5.jpg","picture1.jpg",NA,NA,"word5.aiff","picture5.jpg","picture5.jpg","left",1,2,8,10
"p780","kids","Exp2","Massed",2,1,"F",4.452054795,"Black or African American",NA,"no","bachelors","test",1,"picture6.jpg","picture8.jpg",NA,NA,"word8.aiff","picture8.jpg","picture6.jpg","left",0,8,9,12
"p780","kids","Exp2","Massed",2,1,"F",4.452054795,"Black or African American",NA,"no","bachelors","test",2,"picture6.jpg","picture7.jpg",NA,NA,"word6.aiff","picture6.jpg","picture7.jpg","right",0,7,9,11
"p780","kids","Exp2","Massed",2,1,"F",4.452054795,"Black or African American",NA,"no","bachelors","test",3,"picture8.jpg","picture5.jpg",NA,NA,"word5.aiff","picture5.jpg","picture5.jpg","right",1,6,8,10
"p780","kids","Exp2","Massed",2,1,"F",4.452054795,"Black or African American",NA,"no","bachelors","test",4,"picture3.jpg","picture1.jpg",NA,NA,"word3.aiff","picture3.jpg","picture3.jpg","left",1,2,3,6
"p780","kids","Exp2","Massed",2,1,"F",4.452054795,"Black or African American",NA,"no","bachelors","test",5,"picture2.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture2.jpg","left",0,4,5,7
"p780","kids","Exp2","Massed",2,1,"F",4.452054795,"Black or African American",NA,"no","bachelors","test",6,"picture2.jpg","picture3.jpg",NA,NA,"word2.aiff","picture2.jpg","picture3.jpg","right",0,1,2,4
"p780","kids","Exp2","Massed",2,1,"F",4.452054795,"Black or African American",NA,"no","bachelors","test",7,"picture7.jpg","picture5.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","left",1,10,11,12
"p780","kids","Exp2","Massed",2,1,"F",4.452054795,"Black or African American",NA,"no","bachelors","test",8,"picture4.jpg","picture1.jpg",NA,NA,"word1.aiff","picture1.jpg","picture1.jpg","right",1,1,3,5
"p781","kids","Exp2","Massed",2,2,"M",5.536986301,"Multi",NA,"no","somecollege","test",1,"picture6.jpg","picture7.jpg",NA,NA,"word6.aiff","picture6.jpg","picture7.jpg","right",0,7,9,11
"p781","kids","Exp2","Massed",2,2,"M",5.536986301,"Multi",NA,"no","somecollege","test",2,"picture6.jpg","picture8.jpg",NA,NA,"word8.aiff","picture8.jpg","picture6.jpg","left",0,8,9,12
"p781","kids","Exp2","Massed",2,2,"M",5.536986301,"Multi",NA,"no","somecollege","test",3,"picture7.jpg","picture5.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","left",1,10,11,12
"p781","kids","Exp2","Massed",2,2,"M",5.536986301,"Multi",NA,"no","somecollege","test",4,"picture8.jpg","picture5.jpg",NA,NA,"word5.aiff","picture5.jpg","picture5.jpg","right",1,6,8,10
"p781","kids","Exp2","Massed",2,2,"M",5.536986301,"Multi",NA,"no","somecollege","test",5,"picture3.jpg","picture1.jpg",NA,NA,"word3.aiff","picture3.jpg","picture1.jpg","right",0,2,3,6
"p781","kids","Exp2","Massed",2,2,"M",5.536986301,"Multi",NA,"no","somecollege","test",6,"picture2.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture2.jpg","left",0,4,5,7
"p781","kids","Exp2","Massed",2,2,"M",5.536986301,"Multi",NA,"no","somecollege","test",7,"picture4.jpg","picture1.jpg",NA,NA,"word1.aiff","picture1.jpg","picture1.jpg","right",1,1,3,5
"p781","kids","Exp2","Massed",2,2,"M",5.536986301,"Multi",NA,"no","somecollege","test",8,"picture2.jpg","picture3.jpg",NA,NA,"word2.aiff","picture2.jpg","picture3.jpg","right",0,1,2,4
"p784","kids","Exp2","Massed",2,1,"F",6.161643836,"Hispanic or Latino",NA,"yes","somehigh","test",1,"picture6.jpg","picture8.jpg",NA,NA,"word8.aiff","picture8.jpg","picture8.jpg","right",1,8,9,12
"p784","kids","Exp2","Massed",2,1,"F",6.161643836,"Hispanic or Latino",NA,"yes","somehigh","test",2,"picture2.jpg","picture3.jpg",NA,NA,"word2.aiff","picture2.jpg","picture3.jpg","right",0,1,2,4
"p784","kids","Exp2","Massed",2,1,"F",6.161643836,"Hispanic or Latino",NA,"yes","somehigh","test",3,"picture3.jpg","picture1.jpg",NA,NA,"word3.aiff","picture3.jpg","picture3.jpg","left",1,2,3,6
"p784","kids","Exp2","Massed",2,1,"F",6.161643836,"Hispanic or Latino",NA,"yes","somehigh","test",4,"picture7.jpg","picture5.jpg",NA,NA,"word7.aiff","picture7.jpg","picture5.jpg","right",0,10,11,12
"p784","kids","Exp2","Massed",2,1,"F",6.161643836,"Hispanic or Latino",NA,"yes","somehigh","test",5,"picture8.jpg","picture5.jpg",NA,NA,"word5.aiff","picture5.jpg","picture5.jpg","right",1,6,8,10
"p784","kids","Exp2","Massed",2,1,"F",6.161643836,"Hispanic or Latino",NA,"yes","somehigh","test",6,"picture2.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture2.jpg","left",0,4,5,7
"p784","kids","Exp2","Massed",2,1,"F",6.161643836,"Hispanic or Latino",NA,"yes","somehigh","test",7,"picture6.jpg","picture7.jpg",NA,NA,"word6.aiff","picture6.jpg","picture6.jpg","left",1,7,9,11
"p784","kids","Exp2","Massed",2,1,"F",6.161643836,"Hispanic or Latino",NA,"yes","somehigh","test",8,"picture4.jpg","picture1.jpg",NA,NA,"word1.aiff","picture1.jpg","picture1.jpg","right",1,1,3,5
"p785","kids","Exp2","Massed",2,2,"F",6.345205479,"White",NA,"no","bachelors","test",1,"picture4.jpg","picture1.jpg",NA,NA,"word1.aiff","picture1.jpg","picture4.jpg","left",0,1,3,5
"p785","kids","Exp2","Massed",2,2,"F",6.345205479,"White",NA,"no","bachelors","test",2,"picture6.jpg","picture7.jpg",NA,NA,"word6.aiff","picture6.jpg","picture7.jpg","right",0,7,9,11
"p785","kids","Exp2","Massed",2,2,"F",6.345205479,"White",NA,"no","bachelors","test",3,"picture2.jpg","picture3.jpg",NA,NA,"word2.aiff","picture2.jpg","picture2.jpg","left",1,1,2,4
"p785","kids","Exp2","Massed",2,2,"F",6.345205479,"White",NA,"no","bachelors","test",4,"picture8.jpg","picture5.jpg",NA,NA,"word5.aiff","picture5.jpg","picture5.jpg","right",1,6,8,10
"p785","kids","Exp2","Massed",2,2,"F",6.345205479,"White",NA,"no","bachelors","test",5,"picture6.jpg","picture8.jpg",NA,NA,"word8.aiff","picture8.jpg","picture6.jpg","left",0,8,9,12
"p785","kids","Exp2","Massed",2,2,"F",6.345205479,"White",NA,"no","bachelors","test",6,"picture2.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture4.jpg","right",1,4,5,7
"p785","kids","Exp2","Massed",2,2,"F",6.345205479,"White",NA,"no","bachelors","test",7,"picture7.jpg","picture5.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","left",1,10,11,12
"p785","kids","Exp2","Massed",2,2,"F",6.345205479,"White",NA,"no","bachelors","test",8,"picture3.jpg","picture1.jpg",NA,NA,"word3.aiff","picture3.jpg","picture1.jpg","right",0,2,3,6
"p788","kids","Exp2","Massed",2,1,"F",4.876712329,"Hispanic or Latino",NA,"yes","associates","test",1,"picture6.jpg","picture7.jpg",NA,NA,"word6.aiff","picture6.jpg","picture7.jpg","right",0,7,9,11
"p788","kids","Exp2","Massed",2,1,"F",4.876712329,"Hispanic or Latino",NA,"yes","associates","test",2,"picture2.jpg","picture3.jpg",NA,NA,"word2.aiff","picture2.jpg","picture3.jpg","right",0,1,2,4
"p788","kids","Exp2","Massed",2,1,"F",4.876712329,"Hispanic or Latino",NA,"yes","associates","test",3,"picture7.jpg","picture5.jpg",NA,NA,"word7.aiff","picture7.jpg","picture5.jpg","right",0,10,11,12
"p788","kids","Exp2","Massed",2,1,"F",4.876712329,"Hispanic or Latino",NA,"yes","associates","test",4,"picture6.jpg","picture8.jpg",NA,NA,"word8.aiff","picture8.jpg","picture8.jpg","right",1,8,9,12
"p788","kids","Exp2","Massed",2,1,"F",4.876712329,"Hispanic or Latino",NA,"yes","associates","test",5,"picture8.jpg","picture5.jpg",NA,NA,"word5.aiff","picture5.jpg","picture5.jpg","right",1,6,8,10
"p788","kids","Exp2","Massed",2,1,"F",4.876712329,"Hispanic or Latino",NA,"yes","associates","test",6,"picture4.jpg","picture1.jpg",NA,NA,"word1.aiff","picture1.jpg","picture1.jpg","right",1,1,3,5
"p788","kids","Exp2","Massed",2,1,"F",4.876712329,"Hispanic or Latino",NA,"yes","associates","test",7,"picture3.jpg","picture1.jpg",NA,NA,"word3.aiff","picture3.jpg","picture1.jpg","right",0,2,3,6
"p788","kids","Exp2","Massed",2,1,"F",4.876712329,"Hispanic or Latino",NA,"yes","associates","test",8,"picture2.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture4.jpg","right",1,4,5,7
